"Subject" "Activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()"
1 "STANDING" 0.278873998501441 -0.0155170695081556 -0.105109636555971 -0.980655209135447 -0.925427685244957 -0.924442376504323 0.938584823025937 -0.213684768185475 0.0438134747114409 -0.987727439279539 -0.96668331610951 -0.939240987017291 0.0747223648642363 0.00788118167947262 -0.00837603547722767 -0.973952298386167 -0.960193638443804 -0.975549412190202 -0.0288126306268876 -0.0694546227717867 0.0787387695095101 -0.933803952161383 -0.947607797118156 -0.945936793112392 -0.0998181919129683 -0.0436107546198847 -0.0516168602763401 -0.963604872103746 -0.973212127636888 -0.972036176138328 -0.94523991167147 -0.934540657089337 -0.94523991167147 -0.934540657089337 -0.97302376778098 -0.963874229423631 -0.928171156945245 -0.909827595475504 -0.974342719279539 -0.965147809827089 -0.976550403659942 -0.937106287060519 -0.947291045792507 -0.982703078213257 -0.92399199129683 -0.918890074927954 -3.83154583400583e-05 -0.0514142157789914 0.0476158460647262 -0.973901928616715 -0.960325219654179 -0.971369980835735 -0.976506978097983 -0.963116020662824 -0.978497459884726 0.184302494630597 -0.137728822711239 0.00654844267518732 -0.933435581498559 -0.952896308530259 -0.948117280951009 -0.93514017795389 -0.945340480518732 -0.95034871518732 -0.23589952572853 -0.241922354555043 -0.108697285291182 -0.946021396195965 -0.938468895475504 0.0339078292084611 -0.964087180086455 -0.962673540864553 0.204449895072911 -0.932924449193084 -0.911452727723343 -0.199420155401153 -0.966778547175792 -0.965351605273775 0.0714419396264553
2 "WALKING_DOWNSTAIRS" 0.298476899013245 -0.0167553164357947 -0.103339445828808 0.0568169654953642 0.101801168741093 -0.161908557917219 0.922392621556291 -0.195211265086093 -0.0619257985512914 -0.947749912218543 -0.932292614304636 -0.900079974139073 0.0789138849058444 0.0143077134879801 -0.00210119951718543 -0.0739383271777152 -0.076955419386755 -0.387341481486755 -0.119864590981788 -0.0240266689565894 0.0957683391555298 -0.326585927174503 -0.315877312258609 -0.221336481211921 -0.0857009316519868 -0.054198988934106 -0.0455306321566225 -0.395155723010596 -0.448965993738411 -0.306785654756523 0.0849057636410596 0.102760012140099 0.0849057636410596 0.102760012140099 -0.133525109687517 -0.0233496238340397 -0.0972977338648675 -0.223352319741987 -0.407603854437086 -0.42460066773543 -0.0073044765692053 0.0763112967465563 -0.194402126036689 0.0782207814252649 0.0436623827546358 -0.213578906254967 -0.41433605782053 -0.0247124311784768 0.0667921280650993 -0.119526341403738 -0.119019162115563 -0.334848022630795 -0.110899093799007 -0.0952277148284106 -0.439159711290861 -0.345998523668874 -0.407861554155662 -0.298662092561921 -0.222101144977152 -0.298260936062914 -0.123188597107285 -0.364435748100662 -0.335184520961854 -0.329776664911258 -0.184951031319868 -0.0667723543025497 -0.0526531355803311 0.129309660165828 -0.0873060259543046 0.012633883169404 -0.0208077761286424 -0.0370152091695364 -0.00222701007399669 -0.269805956746026 -0.332005233945762 0.0474459937899338 -0.421226568952185 -0.47186160780043 0.0973384769156291
3 "STANDING" 0.279832911671554 -0.0146621754183284 -0.106809447507918 -0.981158861114369 -0.924706057565982 -0.932171654662757 0.93832120431085 -0.159846009625806 -0.0383740292005865 -0.98387092973607 -0.960441722521994 -0.948587900293255 0.0745157098480938 0.00657607859581818 -0.00280240531035484 -0.977570626832845 -0.962403132903226 -0.977639237214076 -0.0248812142790029 -0.0640276845728153 0.0800249597360704 -0.949412903812317 -0.958204955483871 -0.949896020498534 -0.0992105600117302 -0.0414211965636364 -0.0513822083022581 -0.967131220439883 -0.977860954486804 -0.973048649266862 -0.947760230058651 -0.938096500123167 -0.947760230058651 -0.938096500123167 -0.974924157096774 -0.969533778592375 -0.941932326744868 -0.929246295982405 -0.976822608416422 -0.971970713695015 -0.978591359237537 -0.937794869882698 -0.9528201228739 -0.982445405601173 -0.922863771847507 -0.92678753914956 -0.0109742106451613 -0.00974441782363636 0.0187426713441349 -0.97787862085044 -0.962598943929619 -0.974521676422287 -0.979383055337243 -0.965042729882698 -0.979403551348974 0.176701850965865 -0.127703960031584 -0.0252966283337243 -0.946432118739003 -0.962852538944282 -0.951192300909091 -0.951126211026393 -0.956124382815249 -0.954200234193548 -0.220796077494809 -0.225587943834047 -0.111743487933692 -0.949687324340176 -0.941486302965982 0.0289793677527273 -0.969153013284457 -0.969066728035191 0.237136512901408 -0.946743817565982 -0.930926765513197 -0.16710947398915 -0.973309926187683 -0.972077342316715 0.0729661101190616
4 "WALKING_DOWNSTAIRS" 0.286174294536278 -0.0156739188593375 -0.105089836929653 0.095034766807571 0.0740232126141956 -0.174731005887792 0.921759166719243 -0.183642355929022 -0.0590205981416088 -0.950351803312303 -0.934442947665615 -0.920019970630915 0.0883589804936909 0.00033703338643533 -0.0172345764517981 -0.0348866664209464 -0.0775501593659306 -0.368672133356057 -0.106034358751577 -0.0413831452453628 0.106263144303565 -0.340812865308517 -0.325493124281388 -0.269915301017981 -0.0715146228718612 -0.0564526538342902 -0.0447734113378549 -0.380620658009148 -0.436728078805363 -0.309253731274763 0.103958794877035 0.110942713246372 0.103958794877035 0.110942713246372 -0.104640959530915 -0.0119164221123028 -0.130737110438927 -0.229497473550473 -0.392145112515773 -0.42012105007306 0.0339776085536278 0.0590181346116719 -0.196571039402839 0.11396807863306 0.0121099862276656 -0.231725328379432 -0.394271147 -0.0113977629694006 0.0872614009380126 -0.0725146061252366 -0.118631481734385 -0.312614308135016 -0.0837139013754196 -0.0977342219717256 -0.423983771264038 -0.318679497886435 -0.368872794210726 -0.255884474222397 -0.217042191085489 -0.295461266988013 -0.159747583787697 -0.384311474781703 -0.352876765578233 -0.378872266608833 -0.156722529876593 -0.0243219448918612 0.00451067681742902 0.139665781227129 -0.0816129619905363 0.0399031610116404 0.00853611106839117 -0.0490134821242902 0.0299971150672555 -0.25858510302429 -0.351887682666025 0.0916802057339439 -0.410745076037855 -0.476186626101577 0.124860244156498
5 "STANDING" 0.279674579735099 -0.0164967763129139 -0.106434427180629 -0.984548792649007 -0.937061026291391 -0.944268120662252 0.93900938718543 -0.155754109502417 -0.0843366905758278 -0.987473310496689 -0.973446802350993 -0.954284578642384 0.0752903576364238 0.0105020661072848 -0.00479026234709934 -0.980006801291391 -0.963828676523179 -0.978129748112583 -0.027082002147053 -0.0660090444111589 0.0866924741390728 -0.946042943211921 -0.960191669933775 -0.961857081688742 -0.0992686068642384 -0.0422653948569536 -0.0537542058837417 -0.962792673112583 -0.979031290331126 -0.978264577649007 -0.956877580066225 -0.950272210496689 -0.956877580066225 -0.950272210496689 -0.976474906556291 -0.970769239900662 -0.944456780993377 -0.930798436192053 -0.977160508410596 -0.971742062086093 -0.981464251655629 -0.945227676225166 -0.958315455629139 -0.986136302450331 -0.936376660165563 -0.940833618443709 0.0103296442119205 -0.053025757126457 0.0548216292794371 -0.980005985298013 -0.96422455692053 -0.974765341357616 -0.98188625013245 -0.966136555198675 -0.98017617384106 0.192937777898543 -0.141355506933344 0.000686439940960264 -0.941835486225166 -0.963829345463576 -0.961910065728477 -0.948054358543046 -0.95855678486755 -0.965379331291391 -0.241880903358179 -0.224935081188742 -0.0905898886941391 -0.957928496589404 -0.953520584536424 0.0475596843476159 -0.97029368089404 -0.970442949470199 0.267881292177483 -0.946704361357616 -0.932936148741722 -0.172966688667881 -0.973197519503311 -0.971696532582781 0.0895023219440397
6 "STANDING" 0.279436169969231 -0.0156318789070769 -0.104289795024 -0.988446266123077 -0.944279039661538 -0.952770026246154 0.950213422953846 -0.170830129052308 0.0240078373245351 -0.989878594030769 -0.974261736307692 -0.961476412923077 0.0748294867837231 0.00802669569201538 -0.00406140626138154 -0.985310636923077 -0.969945839723077 -0.982995595353846 -0.0263516749506462 -0.0647722898624615 0.0754797449566154 -0.960782947507692 -0.971983703138461 -0.965820232153846 -0.0997058371015385 -0.0434604590092308 -0.0502245638389846 -0.973267785876923 -0.985447064246154 -0.981660097907692 -0.964036286646154 -0.957692857661538 -0.964036286646154 -0.957692857661538 -0.981636471753846 -0.977745144984615 -0.956033267538462 -0.950704737692308 -0.983462718923077 -0.979953282061538 -0.986370327138462 -0.952402251046154 -0.965622123907692 -0.989523550923077 -0.943180227630769 -0.949366879723077 0.0460725431923077 -0.01541100422 0.0889422640240615 -0.985196119907692 -0.970002262707692 -0.980071275476923 -0.986832005569231 -0.972210480707692 -0.984589971692308 0.236562686276615 -0.106513111818831 0.0246117999073846 -0.957603470461538 -0.974445771630769 -0.966485460430769 -0.962147448461538 -0.970868087692308 -0.968802012092308 -0.205385005329231 -0.219813161973138 -0.0951857865906769 -0.964315898676923 -0.960316671815385 0.0916842562316923 -0.977208834123077 -0.977362587138462 0.272853976121538 -0.962169982 -0.951964049415385 -0.167598917940981 -0.980919174553846 -0.979862075815385 0.117542839111385
7 "STANDING" 0.278898188311688 -0.0168844850607792 -0.106036448117435 -0.985277241168831 -0.93111187711039 -0.94197823461039 0.941302568798701 -0.209712380796753 -0.0144497065649351 -0.988494391136364 -0.96895657724026 -0.955030337012987 0.0751354140649351 0.00810372444421104 -0.00485055682362013 -0.981878825811688 -0.965616647922078 -0.982045689837662 -0.0256578030127273 -0.068574905837013 0.0802059998464286 -0.944015874448052 -0.96617788525974 -0.961180079025974 -0.0996525655444805 -0.0432016498542208 -0.0517175169883117 -0.968886970194805 -0.98396171762987 -0.978319746655844 -0.954943632954545 -0.948793459025974 -0.954943632954545 -0.948793459025974 -0.978960630876623 -0.974149730714286 -0.942721855032468 -0.931181029415584 -0.980963015487013 -0.977441337045455 -0.983179940454545 -0.943463032727273 -0.960282182597403 -0.986348678538961 -0.929161460551948 -0.937081748344156 0.0137723650121429 -0.0292333889025974 0.0644070996107143 -0.982004568928571 -0.965867515292208 -0.979023185 -0.983443194935065 -0.96793482987013 -0.98374577762987 0.211534794864935 -0.129748757966396 0.0244007707411039 -0.943635178928571 -0.970045778084416 -0.962467660941558 -0.945090895032468 -0.964370306590909 -0.964455650292208 -0.21718049698276 -0.17820040193289 -0.0579814383152597 -0.959207474058442 -0.95106838724026 0.0622848187467532 -0.973939492922078 -0.973418374837662 0.260540357448377 -0.952205008311688 -0.930711513831169 -0.175263767103117 -0.979056589188312 -0.97675769012987 0.0864170975925325
8 "STANDING" 0.278103533701068 -0.0181322028361495 -0.111550753302491 -0.987307925729537 -0.933392806370107 -0.946284384412811 0.941712179822064 -0.195053942914591 -0.0250887747441281 -0.991238757544484 -0.973701724377224 -0.962251143274021 0.0758464795338078 0.0124919261766512 -0.00215404758167616 -0.981895104092527 -0.964319976227758 -0.981093680640569 -0.0273378730380783 -0.07426303036121 0.0802352547313167 -0.93848361519573 -0.965210402099644 -0.959419255800712 -0.100865560193594 -0.0395935530256228 -0.0543359870463345 -0.965767024163701 -0.983052910960854 -0.980066195836299 -0.95763506658363 -0.951875648007117 -0.95763506658363 -0.951875648007117 -0.978170061957295 -0.973480857259787 -0.940234656939502 -0.926156054341637 -0.979885179003559 -0.975813676156584 -0.984439253309609 -0.943417749857651 -0.961308430747331 -0.988753543523132 -0.932223772099644 -0.942329001957295 0.0395261889516014 -0.0428953664166192 0.0410746416651246 -0.981851681565836 -0.964542296085409 -0.977787470177936 -0.983641880035587 -0.966743909857651 -0.983126562313167 0.219942648437011 -0.152479345322384 0.0115843583283986 -0.938448379501779 -0.969226571067616 -0.961949644768683 -0.939627636903915 -0.963398021814947 -0.962580701957295 -0.245353972211032 -0.198449735851957 -0.078709392341637 -0.959632379288256 -0.954693544128114 0.0254493721498221 -0.972589909181495 -0.973696020391459 0.271770617903559 -0.947620822313167 -0.926373470676157 -0.223647118053737 -0.976926467295374 -0.975883347651246 0.0711297510512456
9 "WALKING_DOWNSTAIRS" 0.285068356833333 -0.0152537932669947 -0.104442742841319 0.124265262416219 -0.0016853721559375 -0.232925104883333 0.932944180763889 -0.150180545252431 -0.0267525399273264 -0.952659625694444 -0.933468128576389 -0.915304768229167 0.088672241865625 -0.00101341513350694 -0.00673014382239583 -0.0364237496157292 -0.0947203527704896 -0.417346956190972 -0.0616779191607986 -0.0727170779215278 0.0840256880652083 -0.347837727433681 -0.385997790839236 -0.304689474253333 -0.0646545907775347 -0.0465569435692708 -0.0609439758352778 -0.385584137780556 -0.504021744370347 -0.349147473024306 0.0936599852512847 0.12841049680375 0.0936599852512847 0.12841049680375 -0.126282799781701 -0.0315681608425347 -0.166567933368924 -0.283748821942014 -0.441602547736111 -0.474279768340278 0.0550875435440972 0.01218526185 -0.254267468564236 0.147081069895486 -0.0749010433239583 -0.285484229003819 -0.401782304419097 0.0323227989097569 0.109636362421382 -0.0710422471423264 -0.138904975358681 -0.364534589422917 -0.0883463407246979 -0.109248264219792 -0.469656538774306 -0.311874400243403 -0.36534884634375 -0.206788648499479 -0.228557623831944 -0.369400024860764 -0.200382149173264 -0.390103676983681 -0.404682428578125 -0.408222263784722 -0.156129467771181 -0.0374242975056944 -0.00586361913888889 0.136405860434375 -0.0542064938773958 0.0099238049350868 -0.0113144511603125 -0.0679414097809028 0.0201309585979167 -0.318323440323958 -0.389373426151042 0.0726645245895833 -0.470206436040972 -0.518631740761806 0.101657787626774
10 "WALKING_DOWNSTAIRS" 0.281401503210884 -0.018586794598534 -0.107870602871769 0.126012637838776 0.0621903641679592 -0.187857601878742 0.92723938414966 -0.152605290538571 -0.0403202931748058 -0.947877761360544 -0.935422458163265 -0.913694289421769 0.0955464907054422 0.008014988945 -0.0171283081965986 -0.0069643668602381 -0.0591059518609524 -0.382331643253333 -0.0469024116613095 -0.0736199534643844 0.082041930282449 -0.326051895657483 -0.339750877257483 -0.279570545472789 -0.0536616691268367 -0.0476836746309184 -0.0570417773923809 -0.386013451456463 -0.480583590481429 -0.344220052387415 0.122473758923707 0.127415811081633 0.122473758923707 0.127415811081633 -0.0927995147381973 0.00628940609183674 -0.126875704812585 -0.264104315053197 -0.431205169112245 -0.451234307282653 0.0616664234352721 0.071941366074966 -0.205133066400748 0.146686372492517 -0.0127810734094558 -0.246138750976871 -0.394138589061225 0.00787639506394558 0.0994178668608163 -0.0438873462261905 -0.101443684293197 -0.321716382059184 -0.0593416111196259 -0.077768400049898 -0.442517708687075 -0.305574129651361 -0.387241058983673 -0.203765600621429 -0.215143953825544 -0.322299774713946 -0.171386745215884 -0.366009696958844 -0.359307970745238 -0.387199606738095 -0.181675999697279 -0.0615354505204422 -0.0264315506539116 0.163013102387755 -0.0716404320417007 0.0272462522193878 0.0247308566896599 -0.0278444113127891 0.0186962217311565 -0.308580468768129 -0.366360382183673 0.0479356081415544 -0.452323384310884 -0.490479564765306 0.0735871729614286
